speaker	count
Dr. Szili Katalin	13
Torgyán József	65
Fodor Gábor	21
Lezsák Sándor	14
Dunai Mónika	1
Dr. Szél Bernadett	19
Dr. Rétvári Bence	22
Szávay István	1
Kontrát Károly	3
Orbán Viktor	154
Jakab István	29
dr. Kóródi Mária	14
Balog Zoltán	6
Balczó Zoltán	4
Dr. Schiffer András	62
Mécs Imre	26
Varga László	4
Dr. Gaudi-Nagy Tamás	17
Dr. Bárándy Gergely	1
Tímár György	2
Harrach Péter	7
Dr. Hankó Faragó Miklós	1
Szilágyi György	12
Ékes József	3
Dr. Hiller István	5
Dr. Dávid Ibolya	6
Mandur László	4
	19
Nacsa Lőrinc	17
Szabad György	67
Kocsis Máté	1
Dr. Völner Pál	1
Kövér László	133
Dr. Orbán Viktor	6
Bana Tibor	4
Dr. Géczi József Alajos	1
Csurka István	1
Gyurcsány Ferenc	13
Lendvai Ildikó	2
Dr. Horváth János	9
Juhász Ferenc	1
Tukacs István	1
Rónaszékiné Keresztes Monika	1
Dr. Szanyi Tibor	2
Dr. Rácz Jenő	2
Bangóné Borbély Ildikó	2
Isépy Tamás	2
Fodor Tamás	1
Gusztos Péter	3
Dr. Szabó Zoltán	1
Novák Előd	15
Ander Balázs	1
Dr. Vadai Ágnes	6
Font Sándor	5
Gadó György	2
Bauer Tamás	78
Kuncze Gábor	46
Herényi Károly	3
Fekete Gyula	1
Dr. Kóka János	3
Antall József	2
Varga Mihály	92
Németh Szilárd István	2
Dr. Áder János	18
Lamperth Mónika	1
Glattfelder Béla	2
Dr. Kis Zoltán	1
Kiss Péter	1
Dr. Cséfalvay Zoltán	1
Dr. Persányi Miklós	1
Mirkóczki Ádám	1
Dr. Ujhelyi István	2
Dr. Bárándy Péter	1
Vona Gábor	1
Z. Kárpát Dániel	1
Szili Katalin	1
Páva Zoltán	1
Polics József	11
Dr. Kupper András	1
Talabér Márta	1
Vágó Gábor	1
Dr. Selmeczi Gabriella	1
Babák Mihály	2
Pettkó András	2
Dr. Wekler Ferenc	3
Mészáros Péter	3
Dr. Staudt Gábor	5
Vargha Tamás	12
Bebes István	23
Dr. Veres János	39
Keller László	2
Arató Gergely	3
Kõszeg Ferenc	2
dr. Szûrös Mátyás	1
Horn Gyula	36
Tállai András	2
Dr. Hoffmann Rózsa	1
Dr. Répássy Róbert	2
Dr. Gémesi György	1
Dr. Hoppál Péter	1
Hoppa József	1
Hohn Krisztina	9
Semjén Zsolt	4
Dr. Ángyán József	1
Szabó Rebeka	1
Sallai R. Benedek	23
Lázár János	2
Kósa Lajos	84
Magyar Zoltán	1
Dr. Szabó Máté	1
Karácsony Gergely	2
Ertsey Katalin	3
Dr. Világosi Gábor	1
Dr. Hargitai János	1
Bencsik János	2
Dr. Latorcai János	5
Volner János	1
Dr. Botka László	8
Dr. Bartha László	9
Dr. Dobó László	1
Katona Kálmán	3
Szabó Sándor	41
Szabó Timea	3
Dr. Kepli Lajos	1
Pócs János	2
Balsay István	1
Selmeczi Gabriella	3
Göndör István	3
Dr. Apáti István	9
Dr. Pap János	1
Gulyás József	29
Dr. Kiss Gábor	8
Csenger-Zalán Zsolt	7
Kalmár Ferenc András	1
Szőcs Géza	23
Nyakó István	2
Manninger Jenő	2
Dömötör Csaba	1
Jávor Benedek	8
Büky Dorottya	5
Bartos Mónika	1
Bánki Erik	2
Dr. Dán János	1
Lotz Károly	1
Dr. Boros Imre	1
Dr. Fónagy János	1
Dr. Kontrát Károly	1
Dr. Takács Imre	1
Németh Zsolt	1
Nyerges Tibor	1
Oláh Sándor	23
Cseresnyés Péter	1
Molnár Róbert	1
Dr. Cser-Palkovics András	1
Pallag László	1
Dr. Deutsch Tamás	3
Kiss Gábor	29
Dr. Medgyessy Péter	5
Morvai Krisztina	1
Dr. Lenhardt Balázs	1
Dr. Szájer József	1
Herczeg Tamás	1
dr. Áder János	1
Dr. Navracsics Tibor	6
Kádár Béla	2
Dr. Nyikos László	1
Hegyi Gyula	5
Dúró Dóra	1
G. Nagyné dr. Maczó Ágnes	1
dr. Gál Zoltán	3
Demeter Márta	3
Dr. Papcsák Ferenc	1
Dr. Mátrai Márta	1
Dr. Seszták Miklós	9
Dr. Kövér László	18
Koncz Ferenc	5
Tasó László	1
Gőgös Zoltán	1
Almássy Kornél	1
Szijjártó Péter	1
Dr. Varga László	1
Gaal Gergely	1
L. Simon László	1
Dr. Hende Csaba	1
Halász János	1
Farkas Flórián	1
